genotype,Pop,Latitude,Longitude,Ac,Li,Ac_CNV,Li_CNV,CNH,current_30arcsec_annualPET,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,current_30arcsec_continentality,current_30arcsec_embergerQ,current_30arcsec_growingDegDays0,current_30arcsec_growingDegDays5,current_30arcsec_maxTempColdest,current_30arcsec_minTempWarmest,current_30arcsec_monthCountByTemp10,current_30arcsec_PETColdestQuarter,current_30arcsec_PETDriestQuarter,current_30arcsec_PETseasonality,current_30arcsec_PETWarmestQuarter,current_30arcsec_PETWettestQuarter,current_30arcsec_thermicityIndex,wc2.1_30s_bio_1,wc2.1_30s_bio_10,wc2.1_30s_bio_11,wc2.1_30s_bio_12,wc2.1_30s_bio_13,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,wc2.1_30s_bio_3,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,wc2.1_30s_bio_8,wc2.1_30s_bio_9
AIA_001,AIA,42.046667,-93.621111,1,1,2,2,1,1000.4024963378906,25.15999984741211,-0.1599999964237213,31.59999990463257,68.78750038146973,33523.875,25147.5,-27.75,171.5,6,16.164999961853027,16.164999961853027,5939.8800048828125,158.2874984741211,155.95999908447266,132.75,9.018749952316284,22.34583330154419,-5.8125001192092896,850.75,128.75,20,51.21743297576904,340,73,340,73,11.78333330154419,27.435107231140137,1136.3306579589844,29.75,-13.199999809265137,42.95000076293945,22.34583330154419,-5.8125001192092896
AIA_002,AIA,42.046667,-93.621111,1,0,7,0,0,1000.4024963378906,25.15999984741211,-0.1599999964237213,31.59999990463257,68.78750038146973,33523.875,25147.5,-27.75,171.5,6,16.164999961853027,16.164999961853027,5939.8800048828125,158.2874984741211,155.95999908447266,132.75,9.018749952316284,22.34583330154419,-5.8125001192092896,850.75,128.75,20,51.21743297576904,340,73,340,73,11.78333330154419,27.435107231140137,1136.3306579589844,29.75,-13.199999809265137,42.95000076293945,22.34583330154419,-5.8125001192092896
AIA_003,AIA,42.046667,-93.621111,0,0,0,0,0,1000.4024963378906,25.15999984741211,-0.1599999964237213,31.59999990463257,68.78750038146973,33523.875,25147.5,-27.75,171.5,6,16.164999961853027,16.164999961853027,5939.8800048828125,158.2874984741211,155.95999908447266,132.75,9.018749952316284,22.34583330154419,-5.8125001192092896,850.75,128.75,20,51.21743297576904,340,73,340,73,11.78333330154419,27.435107231140137,1136.3306579589844,29.75,-13.199999809265137,42.95000076293945,22.34583330154419,-5.8125001192092896
AIA_004,AIA,42.046667,-93.621111,0,0,0,0,0,1000.4024963378906,25.15999984741211,-0.1599999964237213,31.59999990463257,68.78750038146973,33523.875,25147.5,-27.75,171.5,6,16.164999961853027,16.164999961853027,5939.8800048828125,158.2874984741211,155.95999908447266,132.75,9.018749952316284,22.34583330154419,-5.8125001192092896,850.75,128.75,20,51.21743297576904,340,73,340,73,11.78333330154419,27.435107231140137,1136.3306579589844,29.75,-13.199999809265137,42.95000076293945,22.34583330154419,-5.8125001192092896
AIA_007,AIA,42.046667,-93.621111,1,0,4,0,0,1000.4024963378906,25.15999984741211,-0.1599999964237213,31.59999990463257,68.78750038146973,33523.875,25147.5,-27.75,171.5,6,16.164999961853027,16.164999961853027,5939.8800048828125,158.2874984741211,155.95999908447266,132.75,9.018749952316284,22.34583330154419,-5.8125001192092896,850.75,128.75,20,51.21743297576904,340,73,340,73,11.78333330154419,27.435107231140137,1136.3306579589844,29.75,-13.199999809265137,42.95000076293945,22.34583330154419,-5.8125001192092896
AIA_008,AIA,42.046667,-93.621111,1,0,3,0,0,1000.4024963378906,25.15999984741211,-0.1599999964237213,31.59999990463257,68.78750038146973,33523.875,25147.5,-27.75,171.5,6,16.164999961853027,16.164999961853027,5939.8800048828125,158.2874984741211,155.95999908447266,132.75,9.018749952316284,22.34583330154419,-5.8125001192092896,850.75,128.75,20,51.21743297576904,340,73,340,73,11.78333330154419,27.435107231140137,1136.3306579589844,29.75,-13.199999809265137,42.95000076293945,22.34583330154419,-5.8125001192092896
AIA_009,AIA,42.046667,-93.621111,0,0,0,0,0,1000.4024963378906,25.15999984741211,-0.1599999964237213,31.59999990463257,68.78750038146973,33523.875,25147.5,-27.75,171.5,6,16.164999961853027,16.164999961853027,5939.8800048828125,158.2874984741211,155.95999908447266,132.75,9.018749952316284,22.34583330154419,-5.8125001192092896,850.75,128.75,20,51.21743297576904,340,73,340,73,11.78333330154419,27.435107231140137,1136.3306579589844,29.75,-13.199999809265137,42.95000076293945,22.34583330154419,-5.8125001192092896
AIA_010,AIA,42.046667,-93.621111,1,0,3,0,0,1000.4024963378906,25.15999984741211,-0.1599999964237213,31.59999990463257,68.78750038146973,33523.875,25147.5,-27.75,171.5,6,16.164999961853027,16.164999961853027,5939.8800048828125,158.2874984741211,155.95999908447266,132.75,9.018749952316284,22.34583330154419,-5.8125001192092896,850.75,128.75,20,51.21743297576904,340,73,340,73,11.78333330154419,27.435107231140137,1136.3306579589844,29.75,-13.199999809265137,42.95000076293945,22.34583330154419,-5.8125001192092896
AIA_011,AIA,42.046667,-93.621111,0,1,0,1,0,1000.4024963378906,25.15999984741211,-0.1599999964237213,31.59999990463257,68.78750038146973,33523.875,25147.5,-27.75,171.5,6,16.164999961853027,16.164999961853027,5939.8800048828125,158.2874984741211,155.95999908447266,132.75,9.018749952316284,22.34583330154419,-5.8125001192092896,850.75,128.75,20,51.21743297576904,340,73,340,73,11.78333330154419,27.435107231140137,1136.3306579589844,29.75,-13.199999809265137,42.95000076293945,22.34583330154419,-5.8125001192092896
AIA_012,AIA,42.046667,-93.621111,0,0,0,0,0,1000.4024963378906,25.15999984741211,-0.1599999964237213,31.59999990463257,68.78750038146973,33523.875,25147.5,-27.75,171.5,6,16.164999961853027,16.164999961853027,5939.8800048828125,158.2874984741211,155.95999908447266,132.75,9.018749952316284,22.34583330154419,-5.8125001192092896,850.75,128.75,20,51.21743297576904,340,73,340,73,11.78333330154419,27.435107231140137,1136.3306579589844,29.75,-13.199999809265137,42.95000076293945,22.34583330154419,-5.8125001192092896
